[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/EditLink.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 787] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Footer.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 859] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Select.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1599] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Search.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 3701] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Search.astro?astro&type=style&index=1&lang.css" [Client 192.168.65.1] [Length 2675] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/SiteTitle.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1168] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/SocialIcons.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 827] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/@vite/client" [Client 192.168.65.1] [Length 104880] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@pagefind/default-ui/css/ui.css" [Client 192.168.65.1] [Length 13589] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Header.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1453] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
